n_tplus,Tzplus
"1203,6754150391","78,573148999"
"1209,5872802734","79,5412130323"
"1215,5651855469","79,1524318945"
"1221,5166015625","77,4075748776"
"1227,3809814453","77,1134238873"
"1233,2225341797","77,716212628"
"1239,1350097656","77,9579153634"
"1245,1049804688","77,0139228527"
"1251,0356445313","75,4899099407"
"1256,869140625","75,3303746659"
"1262,6745605469","75,3797166871"
"1268,5339355469","75,1855574558"
"1274,4338378906","74,6048823141"
"1280,2966308594","73,6492917316"
"1286,0833740234","73,2917110292"
"1291,8529052734","73,082979255"
"1297,6479492188","72,1421528758"
"1303,4254150391","70,559762059"
"1309,1160888672","69,3818006095"
"1314,7271728516","69,2982470948"
"1320,3204345703","68,8450161437"
"1325,8958740234","67,0340376124"
"1331,384765625","65,3432780446"
"1336,7416992188","64,1471526391"
"1342,0239257813","63,4352163321"
"1347,2835693359","62,536938031"
"1352,4937744141","60,8265905523"
"1357,5925292969","59,558223761"
"1362,5864257813","58,5450148321"
"1367,5228271484","57,4521956311"
"1372,3940429688","55,885096817"
"1377,1474609375","54,0130880321"
"1381,7642822266","52,8340327948"
"1386,3032226563","51,9278940294"
"1390,7893066406","50,613851692"
"1395,1787109375","48,7595426733"
"1399,4190673828","47,2515548144"
"1403,5462646484","46,2570108742"
"1407,6103515625","45,1480690186"
"1411,5938720703","43,5240458598"
"1415,4448242188","42,0344598229"
"1419,1831054688","41,4619573063"
"1422,8806152344","40,9200988719"
"1426,5421142578","39,7266764692"
"1430,1121826172","38,4843542184"
"1433,5725097656","37,6785810298"
"1436,9709472656","36,8247860689"
"1440,3081054688","35,2752413089"
"1443,5118408203","32,9885194343"
"1446,51171875","30,5996705402"
"1449,3040771484","27,8388630088"
"1451,8575439453","24,8969767171"
"1454,1441650391","22,6253098083"
"1456,2233886719","21,7288531696"
"1458,2293701172","21,9186741478"
"1460,2584228516","22,0127058791"
"1462,296875","21,3057476622"
"1464,2736816406","20,3569950059"
"1466,1669921875","19,3539692459"
"1467,970703125","17,9293425345"
"1469,6428222656","16,2046224146"
"1471,1561279297","15,2631660111"
"1472,5852050781","15,2878929013"
"1474,0206298828","15,3228680286"
"1475,4602050781","14,7099978258"
"1476,8410644531","13,8393777602"
"1478,1412353516","12,9868827654"
"1479,3638916016","11,8206211678"
"1480,478515625","10,3539156536"
"1481,4556884766","9,4115991241"
"1482,345703125","9,3091174438"
"1483,2268066406","9,3034666901"
"1484,1069335938","8,7751582486"
"1484,9367675781","8,158492752"
"1485,7081298828","7,8335449756"
"1486,4495849609","7,3139751754"
"1487,1422119141","6,2428259128"
"1487,7337646484","5,2654769156"
"1488,2342529297","4,8987706174"
"1488,7010498047","4,655749709"
"1489,1446533203","4,2085894575"
"1489,5451660156","3,8984700015"
"1489,9165039063","4,1224261126"
"1490,3090820313","4,4566058318"
"1490,7331542969","4,3602799371"
"1491,1481933594","4,1124025941"
"1491,5397949219","4,1288162539"
"1491,9333496094","3,989737648"
"1492,3138427734","3,3806105125"
"1492,6362304688","2,8094068354"
"1492,9044189453","2,7903933862"
"1493,1711425781","2,8628068853"
"1493,4450683594","2,5313451744"
"1493,6873779297","2,0510158481"
"1493,8837890625","1,8982365746"
"1494,0656738281","1,7434529445"
"1494,2326660156","1,2945178813"
"1494,3565673828","0,9169074066"
"1494,4443359375","1,1279627263"
"1494,5523681641","1,4203240847"
"1494,6884765625","1,1936956184"
"1494,8028564453","0,8092497968"
"1494,8803710938","0,9050249602"
"1494,9670410156","1,0873827349"
"1495,0711669922","0,8672546085"
"1495,1541748047","0,5469979237"
"1495,2065429688","0,718377587"
"1495,275390625","0,9543315905"
"1495,3668212891","0,7926715503"
"1495,4427490234","0,5361470682"
"1495,494140625","0,6743474357"
"1495,5588378906","0,8785849544"
"1495,6431884766","0,7276189911"
"1495,7130126953","0,4709329814"
"1495,7581787109","0,6624764802"
"1495,8217773438","0,9218346279"
"1495,9104003906","0,8099050444"
"1495,98828125","0,5271712995"
"1496,0389404297","0,6475248767"
"1496,1011962891","0,8084739779"
"1496,1789550781","0,5421248257"
"1496,2310791016","0,1269711143"
"1496,2432861328","0,1382773013"
"1496,2565917969","0,2232995061"
"1496,2780761719","-0,0076190373"
"1496,27734375","-0,246605303"
"1496,2536621094","0,0889800493"
"1496,2622070313","0,4971389658"
"1496,3099365234","0,4097678808"
"1496,3492431641","0,0496485805"
"1496,3540039063","0,0929484729"
"1496,3629150391","0,2595734328"
"1496,3878173828","0,0292828089"
"1496,390625","-0,3501863552"
"1496,3570556641","-0,2416343276"
"1496,3338623047","0,0610393431"
"1496,3397216797","0,0216312322"
